C_true,candidate_name,phi_percent,C_percent,S_b_percent,sigma_b_inv,xi,Vp_obs,Vs_obs,sigma_obs,objective
60.0,true_C10,41.0,10.0,90.0,0.5,2.7,643.4188947408819,78.23760133590439,0.39579543434406134,800.2227917507284
60.0,midpoint_phase2,35.0,50.0,90.0,12.6,2.7,643.4188947408819,78.23760133590439,0.39579543434406134,3077.368132818062
60.0,bad_candidate,60.0,80.0,82.0,10.0,2.85,643.4188947408819,78.23760133590439,0.39579543434406134,1938.317945272263
60.0,near_true,42.0,12.0,91.0,0.6,2.72,643.4188947408819,78.23760133590439,0.39579543434406134,703.936326146651
60.0,boundary_like,5.0,100.0,100.0,25.0,2.9,643.4188947408819,78.23760133590439,0.39579543434406134,4412.666200114873
70.0,true_C10,41.0,10.0,90.0,0.5,2.7,583.1482949937223,73.60742152026621,0.42577917133435805,882.915808815063
70.0,midpoint_phase2,35.0,50.0,90.0,12.6,2.7,583.1482949937223,73.60742152026621,0.42577917133435805,3160.0611498823964
70.0,bad_candidate,60.0,80.0,82.0,10.0,2.85,583.1482949937223,73.60742152026621,0.42577917133435805,1891.209403211002
70.0,near_true,42.0,12.0,91.0,0.6,2.72,583.1482949937223,73.60742152026621,0.42577917133435805,786.6293432109853
70.0,boundary_like,5.0,100.0,100.0,25.0,2.9,583.1482949937223,73.60742152026621,0.42577917133435805,4495.359217179208
80.0,true_C10,41.0,10.0,90.0,0.5,2.7,505.827302383027,69.7739917110138,0.4561161782634556,979.6913754411867
80.0,midpoint_phase2,35.0,50.0,90.0,12.6,2.7,505.827302383027,69.7739917110138,0.4561161782634556,3256.83671650852
80.0,bad_candidate,60.0,80.0,82.0,10.0,2.85,505.827302383027,69.7739917110138,0.4561161782634556,1825.6761249972303
80.0,near_true,42.0,12.0,91.0,0.6,2.72,505.827302383027,69.7739917110138,0.4561161782634556,883.4049098371092
80.0,boundary_like,5.0,100.0,100.0,25.0,2.9,505.827302383027,69.7739917110138,0.4561161782634556,4592.134783805332
90.0,true_C10,41.0,10.0,90.0,0.5,2.7,433.57677899010906,65.40961964090262,0.4817821283199962,1067.9859573075053
90.0,midpoint_phase2,35.0,50.0,90.0,12.6,2.7,433.57677899010906,65.40961964090262,0.4817821283199962,3345.131298374839
90.0,bad_candidate,60.0,80.0,82.0,10.0,2.85,433.57677899010906,65.40961964090262,0.4817821283199962,1760.7409159374906
90.0,near_true,42.0,12.0,91.0,0.6,2.72,433.57677899010906,65.40961964090262,0.4817821283199962,971.6994917034278
90.0,boundary_like,5.0,100.0,100.0,25.0,2.9,433.57677899010906,65.40961964090262,0.4817821283199962,4680.42936567165
100.0,true_C10,41.0,10.0,90.0,0.5,2.7,377.7955403430249,60.46627101580325,0.5035537793847225,1137.6847254757818
100.0,midpoint_phase2,35.0,50.0,90.0,12.6,2.7,377.7955403430249,60.46627101580325,0.5035537793847225,3414.830066543115
100.0,bad_candidate,60.0,80.0,82.0,10.0,2.85,377.7955403430249,60.46627101580325,0.5035537793847225,1708.9905095614001
100.0,near_true,42.0,12.0,91.0,0.6,2.72,377.7955403430249,60.46627101580325,0.5035537793847225,1041.3982598717043
100.0,boundary_like,5.0,100.0,100.0,25.0,2.9,377.7955403430249,60.46627101580325,0.5035537793847225,4750.128133839927
