complexity,loss,equation,score,sympy_format,lambda_format
17,0.00047409363,sqrt((C + (phi / ((0.77556545 / sqrt(phi)) * rb))) / (249.2148 - C)) * 0.32377356,0.00900295064876416,0.32377356*sqrt((C + 1.28938183102406*phi**(3/2)/rb)/(249.2148 - C)),PySRFunction(X=>0.32377356*sqrt((C + 1.28938183102406*phi**(3/2)/rb)/(249.2148 - C)))
18,0.00029503816,sqrt((((phi / rb) / (4.0866427 / phi)) + C) / ((phi + 156.70778) - C)) * 0.2548328,0.47430012992757337,0.2548328*sqrt((C + 0.244699640612085*phi**2/rb)/(-C + phi + 156.70778)),PySRFunction(X=>0.2548328*sqrt((C + 0.244699640612085*phi**2/rb)/(-C + phi + 156.70778)))
20,0.00027618028,sqrt((((phi + 6.945746) / (rb / (phi * 0.21598332))) + C) * (0.0657542 / (phi + (159.61629 - C)))),0.03302543150900782,0.256425817732926*sqrt((C + 0.21598332*phi*(phi + 6.945746)/rb)/(-C + phi + 159.61629)),PySRFunction(X=>0.256425817732926*sqrt((C + 0.21598332*phi*(phi + 6.945746)/rb)/(-C + phi + 159.61629)))
21,0.00026819456,sqrt((C + ((sqrt(Sb) + phi) / (rb / (phi * 0.20788692)))) / ((160.54813 - C) + phi)) * 0.2565133,0.029341153617001403,0.2565133*sqrt((C + 0.20788692*phi*(sqrt(Sb) + phi)/rb)/(-C + phi + 160.54813)),PySRFunction(X=>0.2565133*sqrt((C + 0.20788692*phi*(sqrt(Sb) + phi)/rb)/(-C + phi + 160.54813)))
22,0.00021317175,sqrt((Sb * ((C * 0.28886887) + (phi / (rb / (phi / 14.339729))))) / ((phi + 159.52176) - C)) * 0.05073005,0.22961450844951306,0.05073005*sqrt(Sb*(0.28886887*C + 0.069736324863601*phi**2/rb)/(-C + phi + 159.52176)),PySRFunction(X=>0.05073005*sqrt(Sb*(0.28886887*C + 0.069736324863601*phi**2/rb)/(-C + phi + 159.52176)))
24,0.00019256902,sqrt((((C * 0.2006129) + ((phi / rb) / ((15.616758 / phi) + 0.088366434))) * Sb) / ((phi - C) + 160.31096)) * 0.060565647,0.050821771950706425,0.060565647*sqrt(Sb*(0.2006129*C + phi/(rb*(0.088366434 + 15.616758/phi)))/(-C + phi + 160.31096)),PySRFunction(X=>0.060565647*sqrt(Sb*(0.2006129*C + phi/(rb*(0.088366434 + 15.616758/phi)))/(-C + phi + 160.31096)))
25,0.00019045285,sqrt(((C * 1.9444224) + (((phi + sqrt(Sb)) / rb) / (2.4982078 / phi))) * (Sb / ((phi - C) + 162.51616))) * 0.019592041,0.01104997755005118,0.019592041*sqrt(Sb*(1.9444224*C + 0.400286957714246*phi*(sqrt(Sb) + phi)/rb)/(-C + phi + 162.51616)),PySRFunction(X=>0.019592041*sqrt(Sb*(1.9444224*C + 0.400286957714246*phi*(sqrt(Sb) + phi)/rb)/(-C + phi + 162.51616)))
26,0.00016818583,sqrt((Sb / ((phi - C) + 146.78546)) * ((C * 0.30613726) + (((phi + 8.927013) / (rb + 0.06728002)) / (12.911983 / phi)))) * 0.04465654,0.1243351583267213,0.04465654*sqrt(Sb*(0.30613726*C + 0.0774474377793093*phi*(phi + 8.927013)/(rb + 0.06728002))/(-C + phi + 146.78546)),PySRFunction(X=>0.04465654*sqrt(Sb*(0.30613726*C + 0.0774474377793093*phi*(phi + 8.927013)/(rb + 0.06728002))/(-C + phi + 146.78546)))
27,0.00016419732,sqrt((Sb * ((C * 0.1797434) + (((sqrt(Sb) + phi) / (rb + 0.06129202)) / (23.230652 / phi)))) / ((phi - C) + 153.35783)) * 0.06059124,0.02400062371749502,0.06059124*sqrt(Sb*(0.1797434*C + 0.0430465748443048*phi*(sqrt(Sb) + phi)/(rb + 0.06129202))/(-C + phi + 153.35783)),PySRFunction(X=>0.06059124*sqrt(Sb*(0.1797434*C + 0.0430465748443048*phi*(sqrt(Sb) + phi)/(rb + 0.06129202))/(-C + phi + 153.35783)))
28,0.0001491248,(sqrt((Sb * ((C * 0.4256607) + (((phi - -16.323013) / (rb + 0.08569073)) / (12.8724785 / phi)))) / ((phi + 180.79333) - C)) * 0.048744403) + -0.018594867,0.09628533606562246,0.048744403*sqrt(Sb*(0.4256607*C + 0.0776851171279874*phi*(phi + 16.323013)/(rb + 0.08569073))/(-C + phi + 180.79333)) - 0.018594867,PySRFunction(X=>0.048744403*sqrt(Sb*(0.4256607*C + 0.0776851171279874*phi*(phi + 16.323013)/(rb + 0.08569073))/(-C + phi + 180.79333)) - 0.018594867)
30,0.00012046221,(sqrt(((((phi - -14.366424) / (rb + 0.113314055)) / (15.332472 / phi)) + (C * 0.32831636)) * (Sb / (((phi * 1.5151072) + 187.15343) - C))) * 0.060969304) + -0.025739126,0.10672372273705823,0.060969304*sqrt(Sb*(0.32831636*C + 0.0652210550262215*phi*(phi + 14.366424)/(rb + 0.113314055))/(-C + 1.5151072*phi + 187.15343)) - 0.025739126,PySRFunction(X=>0.060969304*sqrt(Sb*(0.32831636*C + 0.0652210550262215*phi*(phi + 14.366424)/(rb + 0.113314055))/(-C + 1.5151072*phi + 187.15343)) - 0.025739126)
31,9.707296e-05,(sqrt((Sb * (((phi / (rb + 0.10683017)) / (16.607481 / phi)) + (C * 0.2054168))) / ((175.89641 - C) + (sqrt(phi) * (phi * 0.22444555)))) * 0.070805326) + -0.01914387,0.21587323306876882,0.070805326*sqrt(Sb*(0.2054168*C + 0.060213827732213*phi**2/(rb + 0.10683017))/(-C + 0.22444555*phi**(3/2) + 175.89641)) - 0.01914387,PySRFunction(X=>0.070805326*sqrt(Sb*(0.2054168*C + 0.060213827732213*phi**2/(rb + 0.10683017))/(-C + 0.22444555*phi**(3/2) + 175.89641)) - 0.01914387)
33,9.506083e-05,(sqrt((((((phi - -14.388194) / (rb + 0.09113608)) / (13.183068 / phi)) + (C * 0.45031834)) * Sb) / (((phi * sqrt(C)) * 0.13088112) + (173.19432 - C))) * 0.04954739) + -0.030033624,0.010472929121109836,0.04954739*sqrt(Sb*(0.45031834*C + 0.0758548768769151*phi*(phi + 14.388194)/(rb + 0.09113608))/(0.13088112*sqrt(C)*phi - C + 173.19432)) - 0.030033624,PySRFunction(X=>0.04954739*sqrt(Sb*(0.45031834*C + 0.0758548768769151*phi*(phi + 14.388194)/(rb + 0.09113608))/(0.13088112*sqrt(C)*phi - C + 173.19432)) - 0.030033624)
35,9.450196e-05,(sqrt((((C * 0.35535052) + (((phi - -14.367085) / (rb + 0.114228666)) / (15.33311 / phi))) * Sb) / (((phi * (sqrt(phi + C) * 0.118440636)) + 187.15332) - C)) * 0.05930667) + -0.031910103,0.0029482137249883375,0.05930667*sqrt(Sb*(0.35535052*C + 0.0652183412236657*phi*(phi + 14.367085)/(rb + 0.114228666))/(-C + 0.118440636*phi*sqrt(C + phi) + 187.15332)) - 0.031910103,PySRFunction(X=>0.05930667*sqrt(Sb*(0.35535052*C + 0.0652183412236657*phi*(phi + 14.367085)/(rb + 0.114228666))/(-C + 0.118440636*phi*sqrt(C + phi) + 187.15332)) - 0.031910103)
